mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,_64,_65,_66,_67,_68,_69,_70,_71,_72,_73,_74,_75,_76,_77,_78,_79,_80,_81,_82,_83,_84,_85,_86,_87,_88,_89,_90,_91,_92,_93,_94,_95,_96,_97,_98,_99,_100,_101,_102,_103,_104,_105,_106,_107,_108,_109,_110,_111,_112,_113,_114,_115,_116,_117,_118,_119,_120,_121,_122,_123,_124,_125,_126,_127
b4b024d555e7,1676816506.479467,(368-32j),(175-384j),(-49-97j),(719+3424j),(719+0j),(24+4j),(247+403j),(7+498j),(-246+474j),(-460+336j),(-588+117j),(-617-126j),(-517-356j),(-355-529j),(-138-634j),(95-648j),(310-575j),(485-441j),(597-257j),(640-61j),(620+125j),(564+296j),(459+437j),(318+539j),(160+599j),(-14+622j),(-183+597j),(-330+534j),(-460+439j),(-567+315j),(-626+170j),(-645+25j),(-630-137j),(-577-293j),(-480-421j),(-364-528j),(-215-615j),(-52-666j),(102-663j),(236-618j),(400-555j),(516-453j),(600-328j),(665-174j),(698-2j),(688+156j),(639+306j),(561+453j),(446+571j),(322+650j),(173+697j),(7+723j),(-156+709j),(-311+650j),(-462+578j),(-597+454j),(-691+312j),(-741+154j),(-760-21j),(-738-191j),(-679-351j),(-583-489j),(-452-609j),(-4+44j),(736-64j),(-40-14j),(-735-175j),(-690-319j),(-614-448j),(-508-564j),(-378-657j),(-219-721j),(-46-747j),(127-729j),(283-678j),(432-578j),(529-492j),(619-370j),(691-225j),(723-57j),(712+120j),(661+287j),(567+438j),(443+551j),(301+631j),(152+681j),(-11+691j),(-171+654j),(-320+583j),(-457+505j),(-560+348j),(-621+207j),(-658+60j),(-662-95j),(-620-243j),(-541-370j),(-429-490j),(-286-583j),(-129-627j),(34-635j),(202-607j),(363-535j),(482-427j),(574-289j),(632-129j),(639+39j),(606+201j),(525+360j),(397+504j),(239+599j),(53+652j),(-148+646j),(-350+569j),(-509+434j),(-622+240j),(-660+7j),(-603-241j),(-474-447j),(-224-572j),(42-590j),(283-484j),(446-279j),(501-11j),(-27+11j),(6-1j),(-86+154j),(11+75j),(-349-68j)
b4b024d555e7,1676816508.485535,(368-32j),(175-384j),(-49-97j),(719+3424j),(-7+8j),(-2-11j),(338-299j),(492-35j),(459+288j),(222+534j),(-124+590j),(-445+430j),(-610+110j),(-587-230j),(-396-503j),(-99-643j),(225-614j),(481-449j),(641-185j),(649+124j),(513+394j),(284+567j),(13+636j),(-261+576j),(-466+417j),(-593+196j),(-625-63j),(-544-322j),(-365-516j),(-120-627j),(157-617j),(390-488j),(551-290j),(627-51j),(602+204j),(483+423j),(293+589j),(33+673j),(-239+637j),(-425+470j),(-626+275j),(-688+0j),(-633-266j),(-492-492j),(-275-653j),(-5-720j),(277-662j),(513-507j),(675-258j),(719+21j),(652+293j),(497+510j),(269+663j),(-6+710j),(-270+683j),(-518+532j),(-690+293j),(-750-2j),(-697-285j),(-542-526j),(-323-690j),(-53-764j),(228-730j),(-4+44j),(736-64j),(-40-14j),(195-733j),(445-618j),(639-409j),(741-136j),(729+149j),(621+417j),(417+619j),(149+723j),(-127+717j),(-371+583j),(-586+402j),(-687+153j),(-700-119j),(-609-380j),(-413-586j),(-174-697j),(107-717j),(375-613j),(567-410j),(674-160j),(686+116j),(570+377j),(381+551j),(139+640j),(-129+658j),(-379+547j),(-555+357j),(-653+113j),(-631-169j),(-496-401j),(-289-562j),(-46-638j),(216-602j),(429-471j),(587-270j),(652-2j),(593+269j),(423+484j),(189+616j),(-98+634j),(-359+530j),(-557+332j),(-660+65j),(-627-234j),(-457-487j),(-187-641j),(142-653j),(439-499j),(622-220j),(644+113j),(492+424j),(210+602j),(-165+592j),(-450+383j),(-557+40j),(-435-287j),(-154-463j),(25+34j),(9-3j),(-86+154j),(11+75j),(-349-68j)
b4b024d555e7,1676816508.485999,(368-32j),(175-384j),(-49-97j),(719+3424j),(-8+1j),(10-10j),(459-38j),(404+291j),(143+520j),(-213+530j),(-510+312j),(-600-33j),(-471-394j),(-181-595j),(176-612j),(485-431j),(638-120j),(625+210j),(447+498j),(142+647j),(-174+618j),(-429+471j),(-601+219j),(-627-85j),(-519-345j),(-320-545j),(-34-638j),(256-579j),(483-413j),(628-157j),(623+147j),(484+389j),(279+556j),(9+634j),(-269+575j),(-488+417j),(-641+184j),(-674-123j),(-555-405j),(-333-560j),(-49-693j),(254-643j),(493-474j),(653-236j),(709+64j),(619+358j),(415+581j),(141+706j),(-178+697j),(-447+552j),(-622+321j),(-706+44j),(-660-254j),(-516-514j),(-260-680j),(55-741j),(362-648j),(593-437j),(723-161j),(735+147j),(628+436j),(406+661j),(98+781j),(-4+44j),(736-64j),(-40-14j),(17+766j),(-277+713j),(-534+542j),(-699+276j),(-740-28j),(-668-328j),(-472-578j),(-187-714j),(118-721j),(386-607j),(602-370j),(689-95j),(678+198j),(536+473j),(284+652j),(-3+712j),(-305+655j),(-553+455j),(-671+182j),(-684-101j),(-580-384j),(-348-586j),(-75-666j),(200-639j),(477-485j),(624-226j),(659+50j),(582+327j),(366+547j),(94+629j),(-178+608j),(-432+477j),(-594+235j),(-634-33j),(-571-308j),(-372-543j),(-85-647j),(207-615j),(463-463j),(621-193j),(634+108j),(520+387j),(286+599j),(-35+664j),(-343+569j),(-577+337j),(-669+0j),(-569-337j),(-313-577j),(37-651j),(380-515j),(587-232j),(585+165j),(359+468j),(-10+559j),(-339+398j),(-486+82j),(34-12j),(-8-6j),(-86+154j),(11+75j),(-349-68j)
b4b024d555e7,1676816509.483407,(368-32j),(175-384j),(-49-97j),(719+3424j),(-1-1j),(20-11j),(466+65j),(367+344j),(116+526j),(-209+532j),(-485+357j),(-616+79j),(-582-252j),(-391-509j),(-112-639j),(192-618j),(443-470j),(607-224j),(649+62j),(563+324j),(375+520j),(135+627j),(-118+625j),(-343+528j),(-501+348j),(-597+123j),(-600-108j),(-519-323j),(-367-496j),(-162-608j),(62-641j),(275-583j),(471-442j),(607-246j),(649-10j),(605+225j),(473+433j),(285+592j),(70+659j),(-155+647j),(-383+555j),(-554+400j),(-660+195j),(-682-50j),(-623-299j),(-492-499j),(-288-639j),(-49-709j),(195-688j),(411-600j),(574-428j),(693-207j),(724+38j),(661+273j),(532+500j),(322+664j),(84+751j),(-166+741j),(-412+642j),(-601+469j),(-723+238j),(-758-16j),(-694-275j),(-4+44j),(736-64j),(-40-14j),(-734-113j),(-659-345j),(-528-536j),(-327-675j),(-85-749j),(170-732j),(411-619j),(595-441j),(699-210j),(723+23j),(674+260j),(549+472j),(366+627j),(129+708j),(-123+708j),(-360+614j),(-558+441j),(-671+222j),(-697-30j),(-649-271j),(-508-474j),(-302-615j),(-66-658j),(184-648j),(386-517j),(535-345j),(628-137j),(644+89j),(585+312j),(452+494j),(238+618j),(-6+663j),(-242+597j),(-440+457j),(-567+254j),(-628+14j),(-594-212j),(-475-415j),(-291-565j),(-61-638j),(184-619j),(405-498j),(573-289j),(649-40j),(609+229j),(464+468j),(219+628j),(219+0j),(-350+565j),(-567+337j),(-652+25j),(-554-286j),(-322-526j),(10-592j),(317-468j),(496-193j),(489+137j),(-23+3j),(10-6j),(-86+154j),(11+75j),(-349-68j)
b4b024d555e7,1676816510.485435,(368-32j),(175-384j),(-49-97j),(719+3424j),(-3+8j),(-28-6j),(-319-348j),(-131-488j),(91-533j),(316-482j),(496-346j),(602-167j),(633+59j),(583+265j),(479+445j),(326+569j),(147+636j),(-37+650j),(-216+611j),(-357+533j),(-469+421j),(-561+305j),(-611+166j),(-628+26j),(-605-107j),(-566-249j),(-501-365j),(-414-460j),(-319-543j),(-205-602j),(-90-638j),(17-640j),(151-624j),(274-586j),(381-510j),(478-434j),(563-319j),(639-198j),(663-89j),(638-3j),(663+156j),(625+269j),(575+367j),(493+464j),(392+566j),(295+628j),(178+676j),(58+709j),(-71+710j),(-178+701j),(-283+651j),(-400+595j),(-496+523j),(-595+427j),(-655+322j),(-714+190j),(-749+68j),(-751-58j),(-734-194j),(-692-319j),(-625-438j),(-537-533j),(-421-618j),(-4+44j),(736-64j),(-40-14j),(-735-38j),(-732-148j),(-706-250j),(-656-361j),(-590-467j),(-498-557j),(-385-633j),(-266-688j),(-143-714j),(-39-680j),(87-712j),(205-688j),(316-646j),(430-575j),(527-487j),(604-376j),(667-249j),(693-125j),(693+5j),(685+123j),(640+244j),(577+357j),(489+443j),(393+540j),(271+598j),(152+626j),(41+653j),(-80+650j),(-201+630j),(-293+580j),(-406+502j),(-504+411j),(-567+290j),(-613+174j),(-630+34j),(-630-113j),(-595-226j),(-533-345j),(-452-452j),(-343-536j),(-231-597j),(-90-628j),(74-637j),(219-607j),(363-542j),(494-439j),(598-293j),(659-129j),(662+60j),(605+257j),(479+431j),(308+541j),(68+607j),(-165+565j),(-356+433j),(-471+232j),(-491-7j),(18-12j),1j,(-86+154j),(11+75j),(-349-68j)
b4b024d555e7,1676816513.492887,(368-32j),(175-384j),(-49-97j),(719+3424j),(-9+6j),(-21-11j),(-162-426j),(64-494j),(293-458j),(482-327j),(596-129j),(609+87j),(543+293j),(422+461j),(258+587j),(66+644j),(-125+634j),(-125+2j),(-457+479j),(-557+337j),(-611+190j),(-642+48j),(-634-103j),(-581-236j),(-510-350j),(-425-463j),(-312-552j),(-193-603j),(-74-636j),(57-649j),(183-615j),(284-560j),(394-498j),(501-407j),(571-295j),(621-185j),(665-57j),(675+85j),(643+212j),(585+320j),(537+434j),(447+524j),(344+589j),(229+654j),(93+703j),(-34+709j),(-149+691j),(-273+665j),(-393+604j),(-479+523j),(-551+431j),(-623+331j),(-672+217j),(-719+97j),(-729-29j),(-729-173j),(-686-298j),(-624-402j),(-542-511j),(-450-610j),(-344-685j),(-221-738j),(-82-762j),(-4+44j),(736-64j),(-40-14j),(-638-405j),(-581-498j),(-498-578j),(-392-637j),(-279-682j),(-152-722j),(-11-740j),(124-729j),(242-693j),(332-618j),(433-553j),(509-473j),(592-380j),(658-261j),(692-134j),(716-8j),(710+135j),(659+268j),(591+373j),(520+470j),(419+556j),(295+606j),(175+639j),(73+666j),(-96+661j),(-212+621j),(-319+580j),(-426+516j),(-503+416j),(-550+311j),(-605+196j),(-641+59j),(-631-73j),(-600-191j),(-556-324j),(-473-444j),(-368-523j),(-258-585j),(-127-632j),(12-641j),(147-618j),(291-570j),(434-487j),(538-370j),(610-235j),(653-75j),(652+106j),(596+274j),(491+426j),(335+548j),(134+618j),(-83+633j),(-296+529j),(-464+365j),(-542+148j),(-513-82j),(-399-295j),(23+8j),(-4+5j),(-86+154j),(11+75j),(-349-68j)
b4b024d555e7,1676816514.491858,(368-32j),(175-384j),(-49-97j),(719+3424j),(4-2j),(4+19j),(-267+368j),(-455+206j),(-543-36j),(-505-283j),(-358-486j),(-148-596j),(104-602j),(324-526j),(505-386j),(615-191j),(642+23j),(616+222j),(527+411j),(377+542j),(202+612j),(40+636j),(-136+628j),(-302+555j),(-433+453j),(-544+330j),(-613+178j),(-636+17j),(-620-133j),(-584-282j),(-492-408j),(-379-499j),(-253-580j),(-99-638j),(61-643j),(210-614j),(357-562j),(500-468j),(592-337j),(626-207j),(689-47j),(680+109j),(629+255j),(570+394j),(473+534j),(351+632j),(204+691j),(47+723j),(-123+709j),(-265+656j),(-388+578j),(-504+486j),(-607+364j),(-670+230j),(-725+81j),(-738-84j),(-707-241j),(-642-378j),(-546-513j),(-423-627j),(-282-717j),(-127-761j),(42-769j),(-4+44j),(736-64j),(-40-14j),(-471-589j),(-355-672j),(-216-726j),(-64-748j),(93-730j),(251-695j),(401-622j),(523-520j),(611-400j),(664-258j),(691-105j),(694+45j),(673+192j),(614+345j),(520+474j),(414+584j),(275+675j),(110+711j),(-51+702j),(-190+668j),(-336+606j),(-457+493j),(-553+368j),(-608+240j),(-668+66j),(-659-86j),(-623-224j),(-566-358j),(-450-468j),(-326-540j),(-189-604j),(-30-641j),(129-620j),(269-568j),(409-493j),(534-374j),(600-227j),(638-78j),(640+91j),(587+252j),(492+392j),(380+513j),(225+618j),(45+661j),(-144+644j),(-325+574j),(-488+443j),(-590+263j),(-634+53j),(-607-167j),(-496-374j),(-320-516j),(-80-596j),(166-562j),(375-413j),(482-183j),(483+72j),(-33-4j),(4+6j),(-86+154j),(11+75j),(-349-68j)
b4b024d555e7,1676816515.493847,(368-32j),(175-384j),(-49-97j),(719+3424j),(-7-4j),(8-17j),(443-78j),(465+183j),(340+431j),(100+573j),(-182+577j),(-432+439j),(-591+199j),(-626-69j),(-556-318j),(-397-519j),(-177-632j),(55-659j),(281-604j),(466-463j),(581-274j),(628-74j),(626+130j),(545+325j),(418+462j),(264+570j),(78+625j),(-118+621j),(-294+561j),(-451+459j),(-571+294j),(-615+111j),(-623-68j),(-583-249j),(-495-406j),(-370-528j),(-222-623j),(-28-679j),(172-659j),(302-567j),(502-469j),(614-307j),(672-124j),(690+55j),(670+240j),(582+415j),(451+554j),(281+659j),(84+715j),(-119+708j),(-298+644j),(-458+544j),(-588+399j),(-670+268j),(-730+61j),(-733-136j),(-668-331j),(-548-498j),(-397-627j),(-229-719j),(-47-767j),(151-762j),(347-693j),(-4+44j),(736-64j),(-40-14j),(-44-761j),(137-755j),(324-690j),(486-568j),(607-411j),(689-241j),(739-55j),(723+143j),(658+321j),(522+475j),(375+600j),(201+670j),(23+698j),(-168+694j),(-353+621j),(-499+514j),(-624+361j),(-692+171j),(-694-27j),(-652-208j),(-575-383j),(-432-526j),(-275-607j),(-82-637j),(100-658j),(279-597j),(425-498j),(549-370j),(628-180j),(632+8j),(602+187j),(525+357j),(398+490j),(248+577j),(80+633j),(-124+640j),(-311+563j),(-459+445j),(-575+283j),(-632+82j),(-623-122j),(-562-305j),(-451-474j),(-274-595j),(-62-650j),(168-633j),(390-531j),(558-344j),(638-103j),(619+154j),(492+391j),(274+558j),(7+603j),(-264+520j),(-460+310j),(-517+31j),(-429-226j),(35+5j),(-6-5j),(-86+154j),(11+75j),(-349-68j)
b4b024d555e7,1676816518.500222,(368-32j),(175-384j),(-49-97j),(719+3424j),(1-9j),(6+10j),(-30+462j),(-223+445j),(-404+358j),(-532+206j),(-600+14j),(-587-201j),(-501-376j),(-379-512j),(-232-606j),(-71-652j),(90-651j),(227-621j),(359-561j),(469-467j),(541-357j),(592-245j),(626-130j),(631-10j),(616+89j),(596+187j),(560+292j),(501+385j),(436+464j),(360+536j),(259+588j),(160+610j),(72+623j),(-23+634j),(-118+627j),(-204+608j),(-290+590j),(-390+551j),(-473+488j),(-525+405j),(-599+342j),(-645+249j),(-674+154j),(-693+69j),(-714-24j),(-708-125j),(-682-223j),(-645-317j),(-594-409j),(-528-488j),(-452-544j),(-384-596j),(-303-642j),(-224-673j),(-137-714j),(-47-738j),(53-743j),(156-728j),(248-707j),(335-677j),(416-644j),(487-590j),(554-526j),(-4+44j),(736-64j),(-40-14j),(-195-730j),(-115-749j),(-26-753j),(70-746j),(161-723j),(255-696j),(342-657j),(422-599j),(486-539j),(541-463j),(601-384j),(637-302j),(676-220j),(707-129j),(713-30j),(712+54j),(699+148j),(670+249j),(613+328j),(561+405j),(497+479j),(407+541j),(330+575j),(241+606j),(149+651j),(48+656j),(-44+657j),(-137+646j),(-245+606j),(-323+547j),(-395+489j),(-469+430j),(-524+348j),(-564+269j),(-604+188j),(-638+78j),(-638-30j),(-622-132j),(-597-234j),(-541-342j),(-471-432j),(-394-511j),(-297-589j),(-174-637j),(-39-656j),(104-652j),(255-610j),(390-526j),(499-410j),(584-267j),(626-90j),(613+78j),(535+272j),(400+419j),(211+506j),(-3+510j),(-197+435j),(-7-33j),(-2+11j),(-86+154j),(11+75j),(-349-68j)
b4b024d555e7,1676816521.503302,(368-32j),(175-384j),(-49-97j),(719+3424j),(1+6j),(-18+1j),(-379-265j),(-231-450j),(-15-547j),(239-526j),(450-397j),(604-183j),(630+60j),(571+293j),(441+488j),(264+606j),(57+669j),(-133+649j),(-318+571j),(-461+447j),(-564+287j),(-627+111j),(-631-54j),(-596-222j),(-518-347j),(-403-464j),(-279-545j),(-133-598j),(20-624j),(166-607j),(320-550j),(438-465j),(542-336j),(607-209j),(637-60j),(640+83j),(609+221j),(543+359j),(460+474j),(348+554j),(206+644j),(55+677j),(-89+683j),(-232+652j),(-367+589j),(-491+503j),(-594+377j),(-678+239j),(-717+76j),(-725-85j),(-689-242j),(-622-379j),(-534-502j),(-425-596j),(-290-676j),(-139-720j),(20-741j),(184-725j),(336-677j),(473-602j),(577-494j),(662-363j),(708-214j),(-4+44j),(736-64j),(-40-14j),(370-640j),(480-560j),(591-453j),(673-324j),(728-170j),(751-11j),(726+142j),(679+292j),(596+412j),(472+538j),(370+619j),(223+680j),(73+723j),(-73+715j),(-227+688j),(-345+623j),(-468+522j),(-564+407j),(-631+260j),(-681+100j),(-676-46j),(-642-206j),(-574-320j),(-481-428j),(-362-526j),(-233-591j),(-89-638j),(48-643j),(209-611j),(338-550j),(461-439j),(550-324j),(601-183j),(624-37j),(613+105j),(564+252j),(497+379j),(379+492j),(252+579j),(93+624j),(-70+636j),(-231+600j),(-382+518j),(-510+396j),(-603+228j),(-654+38j),(-633-171j),(-553-367j),(-397-528j),(-194-626j),(42-645j),(266-577j),(457-406j),(558-170j),(548+84j),(420+305j),(210+427j),(-28-13j),(-3+10j),(-86+154j),(11+75j),(-349-68j)
